Metric,Value
Default Tree Train RMSE,3.218325866275131e-16
Default Tree Test RMSE,0.7037294974840077
Default Tree Train R2,1.0
Default Tree Test R2,0.622075845135081
Default Tree 5-Fold CV Mean RMSE,0.7240092833935426
Default Tree 5-Fold CV Std RMSE,0.01993996571046308
Tuned Tree Train RMSE,0.4803530291642175
Tuned Tree Test RMSE,0.6453626634464059
Tuned Tree Train R2,0.8273916865248951
Tuned Tree Test R2,0.6821656640892819
Tuned Tree 5-Fold CV Mean RMSE,0.6374956796940052
Tuned Tree Test Overfit Gap,0.1650096342821884
